source_system,source_product_id,product_id
AMAZON,P00001,315fd470-b250-54f7-9402-e311581456e7
AMAZON,P00002,6a0a2e00-91f6-59fa-aeb1-2706e5a5834e
AMAZON,P00003,2a8c622e-b201-5d06-a825-cb6515fa03b3
AMAZON,P00004,5b80529c-3d50-5509-9a32-1d306376a3aa
AMAZON,P00005,6f8c875c-892a-52a6-8f89-b37ec2c07332
AMAZON,P00006,cb554a6e-d200-50db-a6b6-242e204d6163
AMAZON,P00007,0ea24894-725c-5036-8138-2b745b67a94f
AMAZON,P00008,f5b1e1ae-b646-572d-8a78-e556ceeb39ec
AMAZON,P00009,0b51f150-22aa-5841-a525-9e2898d3941f
AMAZON,P00010,62a4ea20-87ce-514c-a81a-77216b2da2b8
AMAZON,P00011,bca73299-1420-56e0-81cf-070dfb0ef6b7
AMAZON,P00012,832e90e1-a9e2-5dfe-9cc5-d15fb0ff0474
AMAZON,P00013,dc55b278-de56-5d85-8973-43c8ae77d12f
AMAZON,P00014,b93df006-0431-51a8-b461-97315406fc60
AMAZON,P00015,0fdac5a0-cbe8-5cd3-952b-f88e7105f5ff
AMAZON,P00016,a486baf1-e240-5d6a-b648-da6d0f1ba24e
AMAZON,P00017,408c4e28-fda7-506e-a3e6-9663e73309ce
AMAZON,P00018,5d40a5ea-8534-5e65-aaba-e931b3e8cd50
AMAZON,P00019,a39026fe-131f-53ae-b0cb-06514964577b
AMAZON,P00020,ebc9a231-53d6-5643-a312-4010707fbbe6
AMAZON,P00021,f62d24b3-7a21-530f-ba81-70e335830240
AMAZON,P00022,8f718392-018d-5b1f-87bc-05808dc3a287
AMAZON,P00023,e06a6326-bbb4-5785-9686-a33aaee13bbb
AMAZON,P00024,dd7ca3ac-7e0c-5e86-a766-cadd45569d8f
AMAZON,P00025,2090c2e5-56bc-5b67-9279-f80d3e380cb6
AMAZON,P00026,19716406-cca5-5080-b0e0-bf89c18d1d5d
AMAZON,P00027,8c9e62bf-e6f5-5c72-b72f-d2caac1af090
AMAZON,P00028,e5fee270-0b28-57b2-86e5-db03695ecd24
AMAZON,P00029,da014806-3571-52b3-b0bd-d74216fca7ce
AMAZON,P00030,b63a57fd-39ca-55e8-a964-6c8386287fe3
AMAZON,P00031,40cbd6d6-1ffa-5c14-a0b8-5c3ea83002c9
AMAZON,P00032,2f33daff-97cc-57c1-9e9a-bfcaf4c6ce85
AMAZON,P00033,388bee1f-7765-59c9-a9bc-21a30bcfd70e
AMAZON,P00034,2b3b7cbb-266a-579b-b280-a7726cd78e63
AMAZON,P00035,a2cecc19-bef3-58ed-bcf8-6f9d2fde60dc
AMAZON,P00036,26db63f0-31b8-5cb1-b243-f825b5b230c7
AMAZON,P00037,9366cdcd-eb3b-5756-9d90-3eaf057960bc
AMAZON,P00038,5dfa697a-d569-5e0c-bb4b-1da9ef3a0947
AMAZON,P00039,1512ac4c-8ac0-5e46-a3fd-77ebd1ccd8ac
AMAZON,P00040,4649ae45-0a1a-5d09-83e1-1c6c293d18c9
AMAZON,P00041,958362d8-9317-5e7c-b664-725ac59ecde4
AMAZON,P00042,af6681e0-b59d-5517-9e71-b92f6b16dda9
AMAZON,P00043,3ea2ea45-c513-5a44-93c5-be8d03e33ac6
AMAZON,P00044,fc94e3c3-ea3c-5436-9f0e-4af59f0bd274
AMAZON,P00045,04df26c6-aca7-5464-9f32-5704587cd7a9
AMAZON,P00046,5e9d602f-e999-5d90-aee1-3ba3c424ad7b
AMAZON,P00047,e6353b50-6baf-5f3e-9e89-27c35964c8e9
AMAZON,P00048,1c9a11b0-ba12-50fd-9491-11df82dce369
AMAZON,P00049,fccd6a1d-ef0d-5eed-9e20-45a214e6a360
AMAZON,P00050,6fb44d08-5243-5a4c-9eff-f2690c8d2e7a
ONLINE_RETAIL,10002,81bbcafb-0172-5af9-8461-d0a6b5849012
ONLINE_RETAIL,10080,bbe294ef-63eb-5956-bd07-05aea912a29f
ONLINE_RETAIL,10120,ae814bd7-c25f-5dbe-8aa0-a198239a3ac2
ONLINE_RETAIL,10123C,8524b753-b328-5cb8-b737-455eb3a328c3
ONLINE_RETAIL,10124A,acf0715a-c2ec-56fd-8371-4dd1a8bff21f
ONLINE_RETAIL,10124G,a8a7db41-bea6-538c-8091-bb2119cdf49c
ONLINE_RETAIL,10125,0ed29b5c-f622-5aa3-a19f-460a59ecbbfb
ONLINE_RETAIL,10133,ab9db1f2-402d-5566-8ca2-8f79d5db3e98
ONLINE_RETAIL,10135,d688e42c-4b9c-5793-a660-b745f0c3a171
ONLINE_RETAIL,11001,37130048-f538-5279-9750-128cb93b6887
ONLINE_RETAIL,15030,5093c18e-3e2f-5d94-b8a3-901aed2a13b2
ONLINE_RETAIL,15034,b59f964e-95a2-5ebe-a005-638c76fab15b
ONLINE_RETAIL,15036,e8e60ad1-4f7f-5fcb-b85c-e2299dac0bcf
ONLINE_RETAIL,15039,d689e604-eacc-5b8a-9333-f5854abfbe59
ONLINE_RETAIL,15044A,b91dc426-35ff-5005-bc8e-899873bc50d8
ONLINE_RETAIL,15044B,6c41c637-607b-5a59-a88d-f9073fcfebb2
ONLINE_RETAIL,15044C,80d93a2e-bb97-5481-a64c-71e4f7b6e136
ONLINE_RETAIL,15044D,3c3d14c3-2c5f-5ed0-b920-eed35066f709
ONLINE_RETAIL,15056BL,1a32fa6c-3071-519c-ad41-24449069c592
ONLINE_RETAIL,15056N,0325c96d-360f-5bff-812c-4e3842e344c9
ONLINE_RETAIL,15056P,162fd10c-021e-5b41-8444-a7ad31910398
ONLINE_RETAIL,15058A,7e6e4037-3f25-5983-97b7-58cb85dd1a11
ONLINE_RETAIL,15058B,f97b9edd-4d32-5aa7-89a9-c1bb853ed2e6
ONLINE_RETAIL,15058C,3c353846-a1a0-50c3-87fa-0b58107c28cc
ONLINE_RETAIL,15060B,40e681f9-0f37-5f3b-99cd-b47165259165
ONLINE_RETAIL,16008,dc386d11-f6ca-52a9-9030-cf63a6003839
ONLINE_RETAIL,16010,210d736d-37bd-55c4-9e0a-649d7dcbb43d
ONLINE_RETAIL,16011,7043a855-a489-5cff-8b60-669d45447819
ONLINE_RETAIL,16012,025c2aed-3a12-5349-9163-d226be27d088
ONLINE_RETAIL,16014,036dae1b-d7f1-5895-8e10-8f181af6b449
ONLINE_RETAIL,16015,39ca8c04-ee80-5209-8a5e-ae1c11f6faf6
ONLINE_RETAIL,16016,fbe83f38-8676-55fe-99de-2a9e2379ea5e
ONLINE_RETAIL,16020C,859437d1-c868-51ad-af79-c51e6cbbdc1f
ONLINE_RETAIL,16033,46272579-6047-5473-9486-8ef74f790493
ONLINE_RETAIL,16043,34e1e4a0-3cb2-5d18-9659-ad1daa3cb4c0
ONLINE_RETAIL,16045,96babbf9-62be-5440-b9d8-86df86481c84
ONLINE_RETAIL,16046,1d37bdae-bb8b-5732-aa22-fb6ff61dd8e5
ONLINE_RETAIL,16048,ca2f9411-da07-57de-a219-1d7d695010b7
ONLINE_RETAIL,16049,d117f588-0608-5a8c-8739-ba8dffa61cb5
ONLINE_RETAIL,16052,03fb7028-394c-5217-9fc3-e429a5238c0b
ONLINE_RETAIL,16054,5973330c-796b-5edd-8a5c-f0175b55adcd
ONLINE_RETAIL,16151A,298a3930-0aaf-5e5e-9e37-abe454fe7718
ONLINE_RETAIL,16156L,e400bc71-5dcf-5654-a0ee-07f1bf3c06ed
